iter	RMSE
0	35.71548672
1	34.2591473
2	32.87325384
3	31.59844919
4	30.36537767
5	29.19262051
6	28.08647973
7	27.05311909
8	26.05283243
9	25.14192982
10	24.25956787
11	23.41569443
12	22.68201192
13	21.92298198
14	21.25743279
15	20.61793428
16	19.98202424
17	19.38950445
18	18.86843924
19	18.34468379
20	17.86439388
21	17.41069242
22	16.98961299
23	16.60980918
24	16.27193643
25	15.93533068
26	15.62737371
27	15.32749573
28	15.06915939
29	14.82137293
30	14.578036
31	14.37429662
32	14.17743714
33	13.99393795
34	13.80322796
35	13.60967244
36	13.43382689
37	13.27115818
38	13.12460783
39	12.98798691
40	12.85451217
41	12.735757
42	12.63015041
43	12.52158345
44	12.41737691
45	12.32954217
46	12.24995268
47	12.17077212
48	12.09194888
49	12.01933948
50	11.95276174
51	11.89583115
52	11.84007866
53	11.78035807
54	11.73703351
55	11.69242549
56	11.6546286
57	11.61682832
58	11.58110601
59	11.54073821
60	11.50952536
61	11.47849969
62	11.4500965
63	11.4249648
64	11.39005785
65	11.36171767
66	11.33600591
67	11.31642231
68	11.29600231
69	11.27800881
70	11.25915086
71	11.23100002
72	11.21189652
73	11.19386571
74	11.18051703
75	11.16378987
76	11.15065305
77	11.13446678
78	11.11787188
79	11.10564714
80	11.09520051
81	11.08050725
82	11.06916631
83	11.05811362
84	11.04303958
85	11.03475141
86	11.02348167
87	11.01052311
88	11.00094021
89	10.99486562
90	10.98334137
91	10.97793432
92	10.96730557
93	10.95918477
94	10.94908755
95	10.94483634
96	10.93662397
97	10.92995896
98	10.9239516
99	10.9173957
100	10.90865128
101	10.89974309
102	10.8941561
103	10.89034324
104	10.88426465
105	10.87549498
106	10.87123003
107	10.86338647
108	10.85753097
109	10.84932673
110	10.8427236
111	10.83955875
112	10.83816912
113	10.83447247
114	10.83112941
115	10.82577904
116	10.82347446
117	10.82034375
118	10.81593307
119	10.81277527
120	10.80876822
121	10.80658539
122	10.80438602
123	10.80109042
124	10.79387035
125	10.78150155
126	10.77436715
127	10.77079072
128	10.76761026
129	10.76518289
130	10.75906271
131	10.75622108
132	10.75192967
133	10.74496195
134	10.73970106
135	10.73658702
136	10.73365892
137	10.72357848
138	10.7195893
139	10.71418862
140	10.71095332
141	10.70731651
142	10.70398239
143	10.70029062
144	10.69628325
145	10.69149491
146	10.68346899
147	10.67918046
148	10.67051409
149	10.66796155
150	10.66457844
151	10.66173048
152	10.65612671
153	10.6496816
154	10.64778291
155	10.64261378
156	10.64045037
157	10.63724133
158	10.63379961
159	10.63083902
160	10.62848165
