iter	RMSE
0	35.31993797
1	33.88669021
2	32.50510357
3	31.2168895
4	29.99974685
5	28.8318633
6	27.74466313
7	26.73158807
8	25.75422303
9	24.82780195
10	23.96571298
11	23.14014538
12	22.38292478
13	21.64572881
14	20.95089808
15	20.32705388
16	19.71537954
17	19.1476027
18	18.60999864
19	18.12124632
20	17.64649486
21	17.20256076
22	16.79742096
23	16.41127149
24	16.04647901
25	15.724518
26	15.43017879
27	15.13382041
28	14.86275893
29	14.61882756
30	14.40035883
31	14.18177817
32	13.98819816
33	13.78751225
34	13.58732816
35	13.40126319
36	13.229582
37	13.07437937
38	12.93395342
39	12.7999091
40	12.67917004
41	12.55445557
42	12.45293763
43	12.36130475
44	12.27038226
45	12.18924088
46	12.10126135
47	12.03347356
48	11.95944641
49	11.90069568
50	11.8452133
51	11.78482654
52	11.73411362
53	11.68587975
54	11.64020043
55	11.59946764
56	11.55923957
57	11.52238633
58	11.48490916
59	11.45280253
60	11.42636582
61	11.39647314
62	11.36816521
63	11.3404817
64	11.31503074
65	11.29021728
66	11.26633541
67	11.24635905
68	11.22768211
69	11.20687842
70	11.18787769
71	11.1667151
72	11.14573701
73	11.12821175
74	11.11424603
75	11.09546428
76	11.08328754
77	11.06908186
78	11.05093512
79	11.03926787
80	11.02599825
81	11.01127983
82	10.99749859
83	10.99001599
84	10.97907942
85	10.97029598
86	10.95650588
87	10.94557268
88	10.93482585
89	10.92603228
90	10.91564365
91	10.90115158
92	10.89292055
93	10.88104059
94	10.87389495
95	10.86718328
96	10.86351109
97	10.85473693
98	10.84987074
99	10.84171409
100	10.83634516
101	10.83127718
102	10.82234623
103	10.81377818
104	10.8086376
105	10.80418636
106	10.79555016
107	10.79207286
108	10.78350294
109	10.77471375
110	10.77057121
111	10.76620056
112	10.76103658
113	10.75415819
114	10.7469608
115	10.74156612
116	10.73505443
117	10.72581446
118	10.72115273
119	10.71678904
120	10.71341031
121	10.71046492
122	10.70323315
123	10.69694728
124	10.69446013
125	10.68882258
126	10.68570394
127	10.68454886
128	10.67987396
129	10.67705142
130	10.67342582
131	10.66640437
132	10.66120929
133	10.65740998
134	10.65510259
135	10.65106341
136	10.64617605
137	10.64241492
138	10.63937818
139	10.63664776
140	10.63187105
141	10.62859773
142	10.61864132
143	10.61516859
144	10.61265431
145	10.60953374
146	10.60531396
147	10.59687633
148	10.59376715
149	10.5912457
150	10.58217197
151	10.57123328
152	10.56775374
153	10.56405966
154	10.55660897
155	10.5524967
156	10.54529135
157	10.54228303
158	10.54043318
159	10.53724154
160	10.53081683
161	10.52747387
162	10.52108877
163	10.51839906
164	10.5160029
165	10.51278186
166	10.50784344
167	10.50213049
168	10.50055936
169	10.49237477
170	10.48988201
171	10.48979142
172	10.48758274
173	10.48619519
174	10.48394875
175	10.47992629
176	10.47639175
177	10.47191174
178	10.46702297
179	10.45985174
180	10.4577573
181	10.45606607
182	10.4534196
183	10.45213938
184	10.45119631
185	10.44701767
186	10.44377135
187	10.44213088
188	10.43634773
189	10.43333556
190	10.42746794
191	10.42518741
192	10.42296634
193	10.41843454
194	10.41595617
195	10.4127056
196	10.41060481
197	10.41051948
198	10.40867546
199	10.40560778
200	10.40361594
201	10.39764596
202	10.39112682
203	10.38947889
204	10.38761462
205	10.38312079
206	10.37945026
207	10.37794338
208	10.375838
209	10.37287623
210	10.37127944
211	10.36842239
212	10.36593474
213	10.36275156
214	10.36202199
215	10.36016655
216	10.35845669
217	10.35665628
218	10.35467686
219	10.35275253
220	10.35014516
221	10.34503253
222	10.34267569
223	10.34059383
224	10.33756418
225	10.3356932
226	10.33151963
227	10.32955187
228	10.32639984
229	10.32465986
230	10.321831
231	10.31971261
232	10.31609815
233	10.3109989
234	10.30867851
235	10.3055591
236	10.30106369
237	10.29545835
238	10.29159741
239	10.28885062
240	10.28542888
241	10.2831969
242	10.28042588
243	10.27729157
244	10.27235175
245	10.26973879
246	10.26846264
247	10.26583512
248	10.26430022
249	10.26152294
250	10.25958751
251	10.25792296
252	10.25482599
253	10.25370346
254	10.25287745
255	10.25005332
256	10.2482527
257	10.24692945
258	10.24474374
259	10.24351887
260	10.24234215
261	10.23894541
262	10.23870193
263	10.2332556
264	10.23081552
265	10.22855685
266	10.22678904
267	10.22477011
268	10.21948946
269	10.21733514
270	10.21567736
271	10.21308401
272	10.2090985
273	10.20527503
274	10.20326259
275	10.19912398
276	10.19770599
277	10.19463922
278	10.19288113
279	10.18976875
280	10.18954431
281	10.18712601
282	10.18457219
283	10.18278586
284	10.17977692
285	10.17971313
286	10.17966549
287	10.17778235
288	10.17562797
289	10.17084579
290	10.16959771
291	10.16832241
292	10.16578275
293	10.16372071
294	10.16070599
295	10.15823576
296	10.15652531
297	10.15512872
298	10.15355672
299	10.15245979
300	10.15235916
301	10.14964389
302	10.14960508
303	10.14813894
304	10.14261375
305	10.14255319
306	10.14050455
307	10.14044255
308	10.14040711
309	10.13856526
310	10.13714226
311	10.1370881
312	10.13508228
313	10.13227001
314	10.13025723
315	10.12917428
316	10.12680843
317	10.12492991
318	10.12306436
319	10.12227587
320	10.12081632
321	10.11680907
322	10.11664899
323	10.11410146
324	10.11186216
325	10.11012511
326	10.10845699
327	10.10645823
328	10.10368213
329	10.10200451
330	10.09981616
331	10.0980765
332	10.09678127
333	10.09560518
334	10.09374032
335	10.09278924
336	10.09273455
337	10.08931539
338	10.08835587
339	10.08688007
340	10.08575495
341	10.08484427
342	10.08307736
343	10.08174153
344	10.08015431
345	10.07805397
346	10.07700714
347	10.07472988
348	10.07467755
349	10.07355308
350	10.07188124
351	10.07046749
352	10.0690719
353	10.06492843
354	10.06270329
355	10.06013314
356	10.05825641
357	10.05549484
358	10.05439346
359	10.05257939
360	10.0508878
361	10.04972261
362	10.04967228
363	10.0478989
364	10.04665075
365	10.04549069
366	10.04451112
367	10.04309535
368	10.04304707
369	10.04159736
370	10.04029574
371	10.03924956
372	10.03922014
373	10.03800302
374	10.03792316
375	10.03656971
376	10.03537302
377	10.03159282
378	10.03152335
379	10.03052181
380	10.03044915
381	10.03040234
382	10.03037554
383	10.03031411
384	10.02902542
385	10.02841526
386	10.02837739
387	10.02688169
388	10.02613862
389	10.02611404
390	10.02502041
391	10.02433503
392	10.02271883
393	10.02110665
394	10.01749876
395	10.01683234
396	10.01577041
397	10.01467507
398	10.01333429
399	10.01254078
400	10.01160263
401	10.01019256
402	10.00911292
403	10.00908962
404	10.00806193
405	10.00714688
406	10.00653016
407	10.00509005
408	10.00341992
409	10.00175385
410	10.00046016
411	9.999182261
412	9.999013348
413	9.997551261
414	9.995615515
415	9.994286854
416	9.992723425
417	9.991602971
418	9.990435341
419	9.989599832
420	9.98879541
421	9.987723932
422	9.983984854
423	9.982996544
424	9.981417747
425	9.980036741
426	9.977862586
427	9.976697593
428	9.976230845
429	9.975121047
430	9.974053847
431	9.973399917
432	9.972665783
433	9.971483045
434	9.970611669
435	9.969741407
436	9.968792591
437	9.967416496
438	9.965897039
439	9.965341334
440	9.964029719
441	9.963245866
442	9.962281814
443	9.961220206
444	9.959789803
445	9.958779162
446	9.957507273
447	9.956468474
448	9.955427109
449	9.954704389
450	9.95372343
451	9.953405361
452	9.952756125
453	9.951651109
454	9.951150412
455	9.950878049
456	9.949524659
457	9.948628401
458	9.94762979
459	9.946461321
460	9.946010934
461	9.945428344
462	9.944508949
463	9.943558017
464	9.942391645
465	9.941470264
466	9.940148832
467	9.939089225
468	9.938556002
469	9.937558417
470	9.936710782
471	9.935855957
472	9.935809215
473	9.935533824
474	9.934753305
475	9.931206914
476	9.930696982
477	9.929562617
478	9.928757702
479	9.927458747
480	9.926415486
481	9.925775398
482	9.924762125
483	9.923768139
484	9.923067725
485	9.922213356
486	9.921185335
487	9.918630443
488	9.918044347
489	9.91726139
490	9.915892525
491	9.914830713
492	9.913883632
493	9.912990464
494	9.912019538
495	9.910909451
496	9.910146702
497	9.909327873
498	9.908618495
499	9.908033111
500	9.907303316
501	9.905950626
502	9.904895768
503	9.904131845
504	9.903424062
505	9.902471732
506	9.901490194
507	9.900722931
508	9.899611803
509	9.898898232
510	9.897867163
511	9.89725764
512	9.896383821
513	9.895560564
514	9.894711931
515	9.89404592
516	9.892878816
517	9.892301896
518	9.890882453
519	9.890320308
520	9.889650643
521	9.889087747
522	9.888026284
523	9.887226359
524	9.88598909
525	9.885299627
526	9.88521661
527	9.884247794
528	9.883277257
529	9.882686893
530	9.881704497
531	9.880970372
532	9.879699806
533	9.87837639
534	9.877407482
535	9.876820525
536	9.876008576
537	9.875216641
538	9.874247808
539	9.873180867
540	9.872389526
541	9.871301017
542	9.870732928
543	9.869582734
544	9.868175759
545	9.867488938
546	9.866551918
547	9.866017239
548	9.866000215
549	9.864950964
550	9.864337817
551	9.863818199
552	9.86294277
553	9.862547638
554	9.861889558
555	9.860993226
556	9.860101132
557	9.859076397
558	9.859039366
559	9.858550781
560	9.857965738
561	9.857096029
562	9.856426551
563	9.856258037
564	9.85623726
565	9.855391218
566	9.854704321
567	9.854042252
568	9.851602997
569	9.851090875
570	9.850087498
571	9.849183997
572	9.848112802
573	9.847236195
574	9.846246409
575	9.845844571
576	9.844959547
577	9.843735271
578	9.842706455
579	9.842686888
580	9.841660245
581	9.840892109
582	9.83890289
583	9.838380175
584	9.838066288
585	9.838030922
586	9.837303012
587	9.837165174
588	9.836510875
589	9.835852404
590	9.83493058
591	9.834001
592	9.833643192
593	9.832757627
594	9.832246674
595	9.831764186
596	9.83125446
597	9.830611704
598	9.829982315
599	9.829421944
600	9.828624784
601	9.82810211
602	9.827233203
603	9.827192003
604	9.826549921
605	9.825600147
606	9.824959448
607	9.824297374
608	9.823930656
609	9.823116404
610	9.821979284
611	9.820742598
612	9.820089043
613	9.819516962
614	9.818301079
615	9.817710366
616	9.817231945
617	9.816017466
618	9.815401676
619	9.814864104
620	9.814231226
621	9.813414578
622	9.813165405
623	9.81213874
624	9.81146427
625	9.810515071
626	9.810079933
627	9.809144208
628	9.80792023
629	9.807131482
630	9.80678464
631	9.806496609
632	9.805999903
633	9.805095945
634	9.805083101
635	9.80478639
636	9.8036167
637	9.802975947
638	9.802003536
639	9.801330806
640	9.800641285
641	9.79991103
642	9.798895208
643	9.798318745
644	9.797919453
645	9.797170147
646	9.796954407
647	9.796420008
648	9.795615887
649	9.795440852
650	9.794746318
651	9.794182098
652	9.793761827
653	9.792817042
654	9.792015822
655	9.791180944
656	9.790664797
657	9.787921211
658	9.78739284
659	9.786597523
660	9.786202905
661	9.785926148
662	9.785423828
663	9.784663913
664	9.784242309
665	9.783722906
666	9.783232203
667	9.782671726
668	9.782066342
669	9.781636304
670	9.781157134
671	9.78093462
672	9.780414942
673	9.779475484
674	9.777257382
675	9.776671771
676	9.775798827
677	9.775235266
678	9.774748483
679	9.7739377
680	9.771782925
681	9.770839694
682	9.770459347
683	9.769237844
684	9.76809306
685	9.767154528
686	9.766409939
687	9.766081075
688	9.765166572
689	9.76439973
690	9.764035864
691	9.763475802
692	9.763068432
693	9.762782027
694	9.762377504
695	9.761603572
696	9.761291471
697	9.760813648
698	9.760737739
699	9.759242568
700	9.758661123
701	9.75837572
702	9.757823783
703	9.757500542
704	9.757178742
705	9.756715103
706	9.75647738
707	9.756010974
708	9.754883266
709	9.754235809
710	9.754012131
711	9.753453027
712	9.75147788
713	9.750823283
714	9.75012446
715	9.74975956
716	9.749360079
717	9.748697937
718	9.747729259
719	9.745397311
720	9.744425501
721	9.743645502
722	9.743082884
723	9.742818376
724	9.742226225
725	9.741303883
726	9.74104389
727	9.739938303
728	9.739786287
729	9.738909697
730	9.738403314
731	9.736216892
732	9.735754708
733	9.734315707
734	9.733491044
735	9.73259141
736	9.732041833
737	9.731219035
738	9.729616271
739	9.72920674
740	9.728968528
741	9.72811238
742	9.727860411
743	9.727658727
744	9.727204111
745	9.726293534
746	9.725574893
747	9.725183456
748	9.724638019
749	9.723727701
750	9.723174827
751	9.722558112
752	9.721753023
753	9.721151892
754	9.719835143
755	9.719156322
756	9.718868032
757	9.718414941
758	9.717656569
759	9.717030493
760	9.716534132
761	9.716122851
762	9.715874696
763	9.715300103
764	9.714961629
765	9.713847889
766	9.713457653
767	9.713021678
768	9.712682877
769	9.71231033
770	9.711395352
771	9.710895933
772	9.709064841
773	9.707628958
774	9.707122009
775	9.705682635
776	9.704436538
777	9.70420485
778	9.703854427
779	9.703323127
780	9.703134822
781	9.702498427
782	9.701237919
783	9.700561713
784	9.700238537
785	9.699710279
786	9.69855335
787	9.698043132
788	9.697398598
789	9.696430091
790	9.695714062
791	9.695189781
792	9.69463965
793	9.694030747
794	9.693730904
795	9.693471447
796	9.693010453
797	9.69238033
798	9.691760367
799	9.691332763
800	9.691004006
801	9.690276327
802	9.689840898
803	9.689154985
804	9.688919174
805	9.688272112
806	9.687893064
807	9.685639424
808	9.685199773
809	9.684623725
810	9.684153911
811	9.683909296
812	9.681291305
813	9.680856248
814	9.68041193
815	9.679893627
816	9.678891554
817	9.678615605
818	9.677541456
819	9.676968566
820	9.676257713
821	9.675188994
822	9.674275028
823	9.674058055
824	9.673294154
825	9.67270037
826	9.67214205
827	9.671821171
828	9.671183899
829	9.669163048
830	9.669087793
831	9.667913863
832	9.66739073
833	9.666974549
834	9.666580255
835	9.665353999
836	9.664531327
837	9.663750019
838	9.663133187
839	9.660986473
840	9.66028698
841	9.659562342
842	9.658988005
843	9.658279895
844	9.657820232
845	9.657556697
846	9.656875803
847	9.656084062
848	9.655650268
849	9.655140477
850	9.654665852
851	9.654377938
852	9.653779011
853	9.653153018
854	9.652071759
855	9.651233713
856	9.650491027
857	9.650035199
858	9.649689615
859	9.649400048
860	9.648761957
861	9.648023679
862	9.647253287
863	9.646561674
864	9.64609356
865	9.645859618
866	9.645051847
867	9.644718523
868	9.643688337
869	9.642737606
870	9.641937851
871	9.641376367
872	9.641067661
873	9.640723819
874	9.640348608
875	9.640013593
876	9.638644208
877	9.638054201
878	9.637363712
879	9.636774691
880	9.6365224
881	9.636021552
882	9.634652025
883	9.634204265
884	9.633633195
885	9.632555134
886	9.632059008
887	9.631276748
888	9.630875768
889	9.630228289
890	9.629816056
891	9.628738546
892	9.628219664
893	9.626608549
894	9.625530626
895	9.624809244
896	9.624165391
897	9.622142367
898	9.621753807
899	9.620760888
900	9.620484662
901	9.620016091
902	9.619674408
903	9.618914093
904	9.618294225
905	9.617385069
906	9.616381153
907	9.615651241
908	9.615158619
909	9.614375577
910	9.613692721
911	9.61313449
912	9.61251347
913	9.612055144
914	9.611452396
915	9.610257024
916	9.609577185
917	9.609311813
918	9.608700691
919	9.608298058
920	9.607251038
921	9.607029718
922	9.60661089
923	9.605407105
924	9.605058759
925	9.604389684
926	9.604183175
927	9.6034845
928	9.602621296
929	9.601528423
930	9.60139156
931	9.600629753
932	9.59935026
933	9.598908172
934	9.59797671
935	9.597156779
936	9.597068331
937	9.597041853
938	9.596597513
939	9.595821747
940	9.595537058
941	9.595011547
942	9.594548939
943	9.594370502
944	9.593507552
945	9.593010824
946	9.592502025
947	9.592353957
948	9.59181376
949	9.591024783
950	9.590494959
951	9.589692098
952	9.588819138
953	9.588015241
954	9.587257785
955	9.586898068
956	9.586663191
957	9.585874614
958	9.585354993
959	9.584888507
960	9.58415373
961	9.58357873
